Comunidad Autonoma;Tasa Paro;Sexo;Periodo;Edad
Total Nacional;55.98;Ambos sexos;2013T2;Menores de 25 años
Total Nacional;56.92;Ambos sexos;2013T1;Menores de 25 años
Total Nacional;54.83;Ambos sexos;2012T4;Menores de 25 años
Total Nacional;52.01;Ambos sexos;2012T3;Menores de 25 años
Total Nacional;53.04;Ambos sexos;2012T2;Menores de 25 años
Total Nacional;51.67;Ambos sexos;2012T1;Menores de 25 años
Total Nacional;48.14;Ambos sexos;2011T4;Menores de 25 años
Total Nacional;45.58;Ambos sexos;2011T3;Menores de 25 años
Total Nacional;45.87;Ambos sexos;2011T2;Menores de 25 años
Total Nacional;45.3;Ambos sexos;2011T1;Menores de 25 años
Total Nacional;42.73;Ambos sexos;2010T4;Menores de 25 años
Total Nacional;40.56;Ambos sexos;2010T3;Menores de 25 años
Total Nacional;41.97;Ambos sexos;2010T2;Menores de 25 años
Total Nacional;40.73;Ambos sexos;2010T1;Menores de 25 años
Total Nacional;38.81;Ambos sexos;2009T4;Menores de 25 años
Total Nacional;38.57;Ambos sexos;2009T3;Menores de 25 años
Total Nacional;38.06;Ambos sexos;2009T2;Menores de 25 años
Total Nacional;35.54;Ambos sexos;2009T1;Menores de 25 años
Total Nacional;28.97;Ambos sexos;2008T4;Menores de 25 años
Total Nacional;24.18;Ambos sexos;2008T3;Menores de 25 años
Total Nacional;23.62;Ambos sexos;2008T2;Menores de 25 años
Total Nacional;21.08;Ambos sexos;2008T1;Menores de 25 años
Total Nacional;18.66;Ambos sexos;2007T4;Menores de 25 años
Total Nacional;17.87;Ambos sexos;2007T3;Menores de 25 años
Total Nacional;18.12;Ambos sexos;2007T2;Menores de 25 años
Total Nacional;17.72;Ambos sexos;2007T1;Menores de 25 años
Total Nacional;17.81;Ambos sexos;2006T4;Menores de 25 años
Total Nacional;16.9;Ambos sexos;2006T3;Menores de 25 años
Total Nacional;18.2;Ambos sexos;2006T2;Menores de 25 años
Total Nacional;18.71;Ambos sexos;2006T1;Menores de 25 años
Total Nacional;18.62;Ambos sexos;2005T4;Menores de 25 años
Total Nacional;18.01;Ambos sexos;2005T3;Menores de 25 años
Total Nacional;20.29;Ambos sexos;2005T2;Menores de 25 años
Total Nacional;21.69;Ambos sexos;2005T1;Menores de 25 años
Total Nacional;21.27;Ambos sexos;2004T4;Menores de 25 años
Total Nacional;21.63;Ambos sexos;2004T3;Menores de 25 años
Total Nacional;22.46;Ambos sexos;2004T2;Menores de 25 años
Total Nacional;22.65;Ambos sexos;2004T1;Menores de 25 años
Total Nacional;22.94;Ambos sexos;2003T4;Menores de 25 años
Total Nacional;22.19;Ambos sexos;2003T3;Menores de 25 años
Total Nacional;22.28;Ambos sexos;2003T2;Menores de 25 años
Total Nacional;23.39;Ambos sexos;2003T1;Menores de 25 años
Total Nacional;23.16;Ambos sexos;2002T4;Menores de 25 años
Total Nacional;22.05;Ambos sexos;2002T3;Menores de 25 años
Total Nacional;21.5;Ambos sexos;2002T2;Menores de 25 años
Total Nacional;22.08;Ambos sexos;2002T1;Menores de 25 años
Total Nacional;12.55;Ambos sexos;2019T3;25 y más años
Total Nacional;12.67;Ambos sexos;2019T2;25 y más años
Total Nacional;13.31;Ambos sexos;2019T1;25 y más años
Total Nacional;13.11;Ambos sexos;2018T4;25 y más años
Total Nacional;13.16;Ambos sexos;2018T3;25 y más años
Total Nacional;13.91;Ambos sexos;2018T2;25 y más años
Total Nacional;15.44;Ambos sexos;2018T1;25 y más años
Total Nacional;15.08;Ambos sexos;2017T4;25 y más años
Total Nacional;14.89;Ambos sexos;2017T3;25 y más años
Total Nacional;15.67;Ambos sexos;2017T2;25 y más años
Total Nacional;17.22;Ambos sexos;2017T1;25 y más años
Total Nacional;17.0;Ambos sexos;2016T4;25 y más años
Total Nacional;17.24;Ambos sexos;2016T3;25 y más años
Total Nacional;18.15;Ambos sexos;2016T2;25 y más años
Total Nacional;19.28;Ambos sexos;2016T1;25 y más años
Total Nacional;19.13;Ambos sexos;2015T4;25 y más años
Total Nacional;19.22;Ambos sexos;2015T3;25 y más años
Total Nacional;20.42;Ambos sexos;2015T2;25 y más años
Total Nacional;21.81;Ambos sexos;2015T1;25 y más años
Total Nacional;21.64;Ambos sexos;2014T4;25 y más años
Total Nacional;21.43;Ambos sexos;2014T3;25 y más años
Total Nacional;22.35;Ambos sexos;2014T2;25 y más años
Total Nacional;23.72;Ambos sexos;2014T1;25 y más años
Total Nacional;23.48;Ambos sexos;2013T4;25 y más años
Total Nacional;23.28;Ambos sexos;2013T3;25 y más años
Total Nacional;23.68;Ambos sexos;2013T2;25 y más años
Total Nacional;24.54;Ambos sexos;2013T1;25 y más años
Total Nacional;23.46;Ambos sexos;2012T4;25 y más años
Total Nacional;22.42;Ambos sexos;2012T3;25 y más años
Total Nacional;21.99;Ambos sexos;2012T2;25 y más años
Total Nacional;21.9;Ambos sexos;2012T1;25 y más años
Total Nacional;20.37;Ambos sexos;2011T4;25 y más años
Total Nacional;18.99;Ambos sexos;2011T3;25 y más años
Total Nacional;18.36;Ambos sexos;2011T2;25 y más años
Total Nacional;18.9;Ambos sexos;2011T1;25 y más años
Total Nacional;18.02;Ambos sexos;2010T4;25 y más años
Total Nacional;17.49;Ambos sexos;2010T3;25 y más años
Total Nacional;17.72;Ambos sexos;2010T2;25 y más años
Total Nacional;17.81;Ambos sexos;2010T1;25 y más años
